Symbol,Name,Sector,Status,Entry Date,Exit Date,Entry Price,Exit Price,Direction,Weight,Size,PnL,Return
BEEP,Mobile Infrastructure Corp Common,Industrials,Open,2025-07-08T00:00:00.000,2025-07-08T00:00:00.000,4.46999979019165,4.46999979019165,Long,0.05,3527.8386496633448,0.0,0.0
ARL,American Realty Investors Inc Common,Real Estate,Closed,2025-06-27T00:00:00.000,2025-07-08T00:00:00.000,14.40999984741211,14.520000457763672,Long,0.05,989.1718851177154,108.80951110555543,0.007633630223203547
AFRI,Forafric Global PLC Common,Consumer Staples,Closed,2025-07-07T00:00:00.000,2025-07-08T00:00:00.000,7.730000019073486,7.730000019073486,Long,0.05,2021.0907944779462,0.0,0.0
AEYE,AudioEye Inc Common,Information Technology,Closed,2025-07-07T00:00:00.000,2025-07-08T00:00:00.000,11.630000114440918,12.329999923706055,Long,0.05,1343.3389274403123,940.3369929866512,0.06018914895761261
USGO,US GoldMining Inc Common,Materials,Closed,2025-07-03T00:00:00.000,2025-07-07T00:00:00.000,8.5,8.529999732971191,Long,0.05,1846.7673755309152,55.40252812583458,0.0035293803495518765
SLSN,Solesence Inc Common,Materials,Closed,2025-07-03T00:00:00.000,2025-07-07T00:00:00.000,3.950000047683716,3.6700000762939453,Long,0.05,3974.0563297506346,-1112.7356586315127,-0.0708860678505466
SFBC,Sound Financial Bancorp Inc Common,Financials,Closed,2025-07-03T00:00:00.000,2025-07-07T00:00:00.000,47.18000030517578,47.02000045776367,Long,0.05,332.7156123458252,-53.234447206959885,-0.003391264230122544
KRMN,Karman Holdings Inc Common,Industrials,Closed,2025-07-03T00:00:00.000,2025-07-07T00:00:00.000,45.02000045776367,45.2400016784668,Long,0.05,348.67886566859755,76.7097760804736,0.00488674407965692
HNVR,Hanover Bancorp Inc (MINEOLA) Common,Financials,Closed,2025-07-03T00:00:00.000,2025-07-07T00:00:00.000,23.239999771118164,23.200000762939453,Long,0.05,675.4527903017063,-27.01744168361074,-0.0017211277354838778
FNWD,Finward Bancorp Common,Financials,Closed,2025-07-03T00:00:00.000,2025-07-07T00:00:00.000,28.25,28.15999984741211,Long,0.05,555.6645200712488,-50.00989159408891,-0.0031858461093058313
CLOV,Clover Health Investments Corp Class A Common,Health Care,Closed,2025-07-03T00:00:00.000,2025-07-07T00:00:00.000,2.559999942779541,2.890000104904175,Long,0.05,6131.844938624907,2023.5098238693354,0.12890631621121584
CHWY,Chewy Inc Class A Common,Consumer Discretionary,Closed,2025-07-03T00:00:00.000,2025-07-07T00:00:00.000,41.290000915527344,41.02000045776367,Long,0.05,380.1773394030038,-102.64805567018448,-0.006539124528382681
WEAV,Weave Communications Inc Common,Information Technology,Closed,2025-07-01T00:00:00.000,2025-07-03T00:00:00.000,8.359999656677246,8.789999961853027,Long,0.05,1805.5325225240979,776.379535690161,0.05143544531516034
VABK,Virginia National Bankshares Corp Common,Financials,Closed,2025-07-02T00:00:00.000,2025-07-03T00:00:00.000,37.11000061035156,38.5099983215332,Long,0.05,416.89010062563574,583.6451866901734,0.03772561811252357
QTTB,Q32 Bio Inc Common,Health Care,Closed,2025-06-27T00:00:00.000,2025-07-03T00:00:00.000,1.4500000476837158,1.440000057220459,Long,0.05,9830.321548182323,-98.30312173257153,-0.006896544920278593
NODK,NI Holdings Inc Common,Financials,Closed,2025-06-30T00:00:00.000,2025-07-03T00:00:00.000,12.739999771118164,13.119999885559082,Long,0.05,1146.371372187492,435.62125262303925,0.02982732506027088
MLP,Maui Land & Pineapple Company Inc Common,Real Estate,Closed,2025-07-02T00:00:00.000,2025-07-03T00:00:00.000,17.899999618530273,18.299999237060547,Long,0.05,864.2900680652158,345.71569752559117,0.022346347880152488
HQI,Hirequest Inc Common,Industrials,Closed,2025-07-01T00:00:00.000,2025-07-03T00:00:00.000,10.069999694824219,10.369999885559082,Long,0.05,1498.9326440773584,449.68007912192115,0.02979147962527327
DIBS,1stdibs.Com Inc Common,Consumer Discretionary,Closed,2025-07-02T00:00:00.000,2025-07-03T00:00:00.000,2.75,2.8499999046325684,Long,0.05,5625.7425049697695,562.5737139843623,0.03636360168457025
CIX,CompX International Inc Class A Common,Industrials,Closed,2025-07-01T00:00:00.000,2025-07-03T00:00:00.000,25.889999389648438,26.389999389648438,Long,0.05,583.014740218811,291.5073701094061,0.01931247631469298
AFRI,Forafric Global PLC Common,Consumer Staples,Closed,2025-07-02T00:00:00.000,2025-07-03T00:00:00.000,7.730000019073486,7.829999923706055,Long,0.05,2001.3960996757135,200.1394190995652,0.012936598238786819
WVE,WAVE Life Sciences Ltd Common,Health Care,Closed,2025-07-01T00:00:00.000,2025-07-02T00:00:00.000,6.514999866485596,6.75,Long,0.05,2316.845982771047,544.4591152835073,0.03607062752576403
STI,Solidion Technology Inc Common,Industrials,Closed,2025-07-01T00:00:00.000,2025-07-02T00:00:00.000,3.75,4.170000076293945,Long,0.05,4025.1336715789494,1690.5564491564874,0.11200002034505212
QRHC,Quest Resource Holding Corp Common,Industrials,Closed,2025-07-01T00:00:00.000,2025-07-02T00:00:00.000,1.9800000190734863,2.140000104904175,Long,0.05,7623.3591530389,1219.7381188043873,0.08080812337848266
PRPL,Purple Innovation Inc Common,Consumer Discretionary,Closed,2025-07-01T00:00:00.000,2025-07-02T00:00:00.000,0.7357000112533569,0.7645000219345093,Long,0.05,20516.856106480296,590.8856750102968,0.03914640511162676
POWW,Ammo Inc Common,Consumer Discretionary,Closed,2025-07-01T00:00:00.000,2025-07-02T00:00:00.000,1.2699999809265137,1.309999942779541,Long,0.05,11885.237397727538,475.4090425232753,0.03149603342816259
GLSI,Greenwich Lifesciences Inc Common,Health Care,Closed,2025-07-01T00:00:00.000,2025-07-02T00:00:00.000,9.050000190734863,9.880000114440918,Long,0.05,1667.8730331822678,1384.3344902926674,0.09171269681914315
FBLG,Fibrobiologics Inc Common,Health Care,Closed,2025-07-01T00:00:00.000,2025-07-02T00:00:00.000,0.600600004196167,0.6101999878883362,Long,0.05,25131.953318287025,241.2663420079134,0.015983988719776437
EP,Empire Petroleum Corp Common,Energy,Closed,2025-06-30T00:00:00.000,2025-07-02T00:00:00.000,5.28000020980835,5.389999866485596,Long,0.05,2766.0550073756867,304.26510116170175,0.020833267482244733
CLYM,Climb Bio Inc Common,Health Care,Closed,2025-07-01T00:00:00.000,2025-07-02T00:00:00.000,1.190000057220459,1.2599999904632568,Long,0.05,12684.244153464528,887.8962439778661,0.058823470484783105
CAMP,CAMP4 Therapeutics Corp Common,Health Care,Closed,2025-07-01T00:00:00.000,2025-07-02T00:00:00.000,1.350000023841858,1.350000023841858,Long,0.05,11180.92666803481,0.0,0.0
ANIK,Anika Therapeutics Inc Common,Health Care,Closed,2025-07-01T00:00:00.000,2025-07-02T00:00:00.000,10.529999732971191,11.25,Long,0.05,1433.452198593931,1032.0859657606634,0.06837609546886952
ABOS,Acumen Pharmaceuticals Inc Common,Health Care,Closed,2025-07-01T00:00:00.000,2025-07-02T00:00:00.000,1.1100000143051147,1.1299999952316284,Long,0.05,13598.42439089553,271.9682284485498,0.018018000602490244
VHI,Valhi Inc Common,Materials,Closed,2025-06-27T00:00:00.000,2025-07-01T00:00:00.000,16.18000030517578,17.290000915527344,Long,0.05,880.9620794043472,977.8684458354073,0.0686032502728994
TCI,Transcontinental Realty Investors Inc Common,Real Estate,Closed,2025-06-30T00:00:00.000,2025-07-01T00:00:00.000,42.61000061035156,44.040000915527344,Long,0.05,342.7545367304458,490.13909212492035,0.03356020381817077
SWKH,SWK Holdings Corp Common,Financials,Closed,2025-06-30T00:00:00.000,2025-07-01T00:00:00.000,14.739999771118164,15.079999923706055,Long,0.05,990.8257290411856,336.88089906201276,0.023066496463188223
RGCO,RGC Resources Inc Common,Utilities,Closed,2025-06-30T00:00:00.000,2025-07-01T00:00:00.000,22.3799991607666,22.84000015258789,Long,0.05,652.581392625253,300.18808785173314,0.020554111218542614
PBFS,Pioneer Bancorp Inc Common,Financials,Closed,2025-06-30T00:00:00.000,2025-07-01T00:00:00.000,12.029999732971191,12.25,Long,0.05,1214.0292056081325,267.0867494145605,0.018287636900426733
OPAD,Offerpad Solutions Inc Class A Common,Real Estate,Closed,2025-06-30T00:00:00.000,2025-07-01T00:00:00.000,0.9100000262260438,1.059999942779541,Long,0.031153397010020144,9999.741026187732,1499.9603194847423,0.16483506838519285
LCNB,LCNB Corp Common,Financials,Closed,2025-06-30T00:00:00.000,2025-07-01T00:00:00.000,14.529999732971191,14.880000114440918,Long,0.021517905706090135,432.5727342429222,151.40062199842578,0.024088120296073604
INNV,InnovAge Holding Corp Common,Health Care,Closed,2025-06-30T00:00:00.000,2025-07-01T00:00:00.000,3.690000057220459,3.950000047683716,Long,0.05,3957.932464176247,1029.0624029400387,0.07046070092993582
INBX,Inhibrx Biosciences Inc Common,Health Care,Closed,2025-06-27T00:00:00.000,2025-07-01T00:00:00.000,14.430000305175781,14.670000076293945,Long,0.05,987.8008601633907,237.07198034953944,0.01663200041874431
GOCO,Gohealth Inc Class A Common,Financials,Closed,2025-06-30T00:00:00.000,2025-07-01T00:00:00.000,5.550000190734863,5.920000076293945,Long,0.02566405559536927,1350.694207262508,499.7567021124423,0.06666664375557267
